,sport,dport,seq,ask,dataofs,window,chksum,timestamp,class2
347,48012,434,3014930342,3288249665,8,501,21071,"(1538470265, 229392046)",1
348,434,48012,3288249665,3014930342,8,252,35806,"(229392065, 1538470265)",1
349,434,48012,3288249665,3014930735,8,261,13141,"(229392066, 1538470265)",1
350,434,48012,3288250308,3014930735,8,261,12845,"(229392066, 1538470265)",1
351,434,48012,3288250368,3014930735,8,261,35477,"(229392066, 1538470265)",1
352,434,48012,3288251035,3014930735,8,261,6019,"(229392066, 1538470265)",1
353,434,48012,3288259464,3014930735,8,261,16057,"(229392066, 1538470265)",1
354,48012,434,3014930735,3288260912,8,441,23908,"(1538470333, 229392066)",1
355,48012,434,3014930735,3288260912,8,446,3034,"(1538470334, 229392066)",1
356,434,56324,990928879,3420073336,8,236,13271,"(229392069, 1538470237)",2
357,48012,434,3014930795,3288260912,8,501,25784,"(1538470397, 229392066)",1
358,48012,434,3014930957,3288260912,8,501,61854,"(1538470399, 229392066)",1
359,434,48012,3288260912,3014930735,8,261,65352,"(229392082, 1538470333)",1
360,48012,434,3014931121,3288263139,8,501,21153,"(1538470399, 229392082)",1
361,48012,434,3014931121,3288263139,8,501,24562,"(1538470399, 229392082)",1
362,434,48012,3288263139,3014930795,8,261,21773,"(229392093, 1538470334)",1
363,434,48012,3288263139,3014930957,8,269,21535,"(229392098, 1538470397)",1
364,434,48012,3288263139,3014931121,8,278,21359,"(229392099, 1538470399)",1
365,47982,434,488877422,4045168133,8,501,19440,"(1538470469, 229391606)",0
366,434,48012,3288263139,3014931189,8,278,13939,"(229392100, 1538470399)",1
367,434,48012,3288279488,3014931189,8,278,6934,"(229392100, 1538470399)",1
368,48012,434,3014931189,3288288832,8,369,60969,"(1538470471, 229392100)",1
369,56328,434,2040852773,0,10,64240,32799,"(1538470472, 0)",3
370,434,48012,3288288832,3014931189,8,278,65420,"(229392102, 1538470399)",1
371,47982,434,488877637,4045168133,8,501,32428,"(1538470475, 229391606)",0
372,56344,434,3520983947,0,10,64240,9579,"(1538470477, 0)",3
373,47982,434,488877822,4045168133,8,501,15047,"(1538470479, 229391606)",0
374,56360,434,955686184,0,10,64240,5282,"(1538470481, 0)",3
375,47982,434,488878011,4045168133,8,501,37217,"(1538470483, 229391606)",0
376,56364,434,1854438372,0,10,64240,74,"(1538470487, 0)",3
377,47982,434,488878197,4045168133,8,501,47905,"(1538470491, 229391606)",0
378,56372,434,2869296790,0,10,64240,16651,"(1538470494, 0)",3
379,47982,434,488878383,4045168133,8,501,55994,"(1538470497, 229391606)",0
380,56376,434,1997082337,0,10,64240,25779,"(1538470500, 0)",3
381,47982,434,488878569,4045168133,8,501,63499,"(1538470501, 229391606)",0
382,47982,434,488878754,4045168133,8,501,8586,"(1538470503, 229391606)",0
383,47982,434,488878940,4045168133,8,501,24893,"(1538470505, 229391606)",0
384,47982,434,488879128,4045168133,8,501,10573,"(1538470507, 229391606)",0
385,48012,434,3014931189,3288288992,8,501,60625,"(1538470521, 229392102)",1
386,434,48012,3288288992,3014931189,8,278,18020,"(229392117, 1538470471)",1
387,48012,434,3014931189,3288309422,8,398,40268,"(1538470536, 229392117)",1
388,434,56328,3510782185,2040852774,10,28960,41745,"(229392117, 1538470472)",2
389,56328,434,2040852774,3510782186,8,502,16581,"(1538470539, 229392117)",1
390,434,47982,4045168133,488877822,8,244,52315,"(229392117, 1538470469)",0
391,47982,434,488879314,4045168133,8,501,42512,"(1538470539, 229392117)",0
